matricula;latitude;longitude
2247295;-28,309275;-52,747005
2873524;;
2328744;-28,309935;-52,745346
2356284;-28,31007;-52,74484
2261891;-28,3078;-52,744614
2222134;-28,307718;-52,744576
2789666;-28,307705;-52,74444
2790564;-28,306238;-52,74255
2850058;-28,306072;-52,743633
2840617;-28,305664;-52,74468
2696693;-28,306044;-52,745743
2723477;-28,299461;-52,745785
2089129;-28,299383;-52,745758
2094945;-28,298962;-52,746277
2092909;-28,29732;-52,747204
2091933;-28,296417;-52,74645
2193801;-28,295555;-52,74501
2268707;-28,293943;-52,743286
2214238;-28,294106;-52,742996
2091409;-28,295267;-52,743088
2184030;-28,296074;-52,743305
2403897;-28,29591;-52,74315
2091527;-28,295807;-52,743076
2263521;-28,295544;-52,742905
2173777;-28,293966;-52,742416
2682042;-28,293127;-52,741177
2506036;-28,293818;-52,73952
2475006;-28,29392;-52,738865
2097460;-28,293592;-52,739193
2376114;-28,291384;-52,739937
2766935;-28,293528;-52,736942
2063548;-28,293596;-52,736828
2351960;-28,294855;-52,73574
2064482;-28,29449;-52,73612
2774256;-28,293581;-52,736702
2784481;-28,293592;-52,736805
2787166;-28,293474;-52,73676
2223464;-28,290668;-52,73972
2091464;-28,29258;-52,741196
2091298;-28,292355;-52,742176
2091505;-28,295965;-52,746494
2091489;-28,296013;-52,74655
2809403;-28,296423;-52,746902
2402515;-28,296848;-52,747353
2766455;-28,296993;-52,747364
2704751;-28,29715;-52,74958
2411187;-28,297058;-52,749687
2405471;-28,296057;-52,751537
2485237;-28,294453;-52,750072
2787797;-28,293774;-52,748535
2823486;-28,293558;-52,74829
2485236;-28,29424;-52,750263
2456207;-28,295444;-52,75247
2616593;-28,295118;-52,753082
2208840;-28,293196;-52,75458
2395376;-28,287302;-52,76033
2699158;-28,287088;-52,76053
1119313;-28,282219;-52,765747
2759071;-28,282572;-52,766014
2522564;-28,283094;-52,7665
2470621;-28,283072;-52,766567
2521775;-28,283216;-52,766617
2734621;-28,283564;-52,766895
2669636;-28,283583;-52,76691
2734648;-28,283548;-52,767014
2465654;-28,283949;-52,7674
2407091;-28,283998;-52,767365
2358995;-28,283974;-52,767406
2322975;-28,28408;-52,76755
2344684;-28,284134;-52,76763
2393875;-28,284182;-52,767624
2403647;-28,284203;-52,767757
2409714;-28,284224;-52,76783
2403769;-28,284252;-52,768078
2518114;-28,284302;-52,768154
2405989;-28,284271;-52,76816
2060006;-28,284203;-52,768265
2256787;-28,284224;-52,768383
2619277;-28,284311;-52,76839
2645334;-28,284344;-52,76841
2724247;-28,284323;-52,76886
2445369;-28,284351;-52,768906
2371517;-28,284306;-52,769043
2688303;-28,284319;-52,76907
2119663;-28,284357;-52,769257
2357487;-28,284851;-52,769073
2593393;-28,284845;-52,768936
2387825;-28,284822;-52,768723
2354746;-28,284882;-52,768696
2359920;-28,284782;-52,76846
2358216;-28,284822;-52,768433
2480258;-28,284756;-52,768433
2427362;-28,284832;-52,76833
2545305;-28,284807;-52,768185
2356595;-28,284733;-52,768
2458422;-28,28469;-52,767963
2744567;-28,28472;-52,767754
2400132;-28,28472;-52,76763
2427028;-28,284729;-52,767494
2388604;-28,284624;-52,767258
2418711;-28,284454;-52,767155
2584208;-28,284441;-52,76705
2460563;-28,284298;-52,766975
2481337;-28,284317;-52,76695
2695287;-28,28429;-52,76696
2608783;-28,284206;-52,76678
2546471;-28,28436;-52,766895
2619640;-28,284443;-52,767
2454474;-28,284538;-52,767075
2610784;-28,28459;-52,767113
2728140;-28,284655;-52,76717
2409606;-28,284735;-52,767147
2765384;-28,284824;-52,767338
2446348;-28,285048;-52,76735
2405995;-28,284828;-52,767483
2451256;-28,28487;-52,767727
2463656;-28,284834;-52,767803
2439457;-28,284885;-52,768
2410727;-28,284876;-52,7683
2517331;-28,284914;-52,76831
2448326;-28,284897;-52,768505
2461412;-28,284922;-52,768517
2740382;-28,284964;-52,768757
1119964;-28,285109;-52,768936
2496811;-28,285404;-52,768173
2699567;-28,28539;-52,768166
2630963;-28,285282;-52,767956
2461053;-28,2853;-52,767673
2563448;-28,285276;-52,767582
2693408;-28,285309;-52,767563
2462664;-28,28539;-52,767937
2760231;-28,285418;-52,768063
1119970;-28,28566;-52,76817
1119968;-28,285929;-52,7679
2162100;-28,286053;-52,767735
2311155;-28,286407;-52,7685
1119967;-28,286415;-52,76854
1119976;-28,286358;-52,76869
1119977;-28,286201;-52,76882
2048177;-28,28611;-52,768982
1119966;-28,285997;-52,76908
1119965;-28,285952;-52,76914
2524743;-28,285913;-52,769222
1119969;-28,285666;-52,768337
1119971;-28,285536;-52,76847
1119973;-28,285458;-52,76853
1119972;-28,285454;-52,768536
1302516;-28,285477;-52,76869
1401981;-28,285385;-52,76876
2526786;-28,285252;-52,76893
2722027;-28,284636;-52,769264
2148690;-28,284267;-52,769493
2062507;-28,284262;-52,768948
2316905;-28,284101;-52,768665
2059127;-28,284163;-52,76849
2180275;-28,283989;-52,768185
2306925;-28,284048;-52,76811
2093797;-28,28411;-52,767998
2184615;-28,284012;-52,76761
2211996;-28,283916;-52,76751
2059115;-28,28381;-52,76742
2329074;-28,283731;-52,7675
2038418;-28,283733;-52,767353
2310447;-28,283573;-52,767185
2001541;-28,283516;-52,767113
2168454;-28,283365;-52,766926
2414572;-28,283237;-52,766895
2781382;-28,283264;-52,766792
2229610;-28,28321;-52,766792
2167144;-28,282852;-52,76656
2182636;-28,282873;-52,766533
1302177;-28,282524;-52,766327
